,05D004,05D0AA,218FA5,43D1F8,D104D0,FF3300,FF6600
05D004,1.0,0.00041866118357121126,0.4662263469891081,1.3859564137362206e-06,1.0,1.0,1.0
05D0AA,0.00041866118357121126,1.0,2.4512754573537648e-05,1.0,1.0,0.06676332190544362,1.0
218FA5,0.4662263469891081,2.4512754573537648e-05,1.0,1.5625326493484395e-07,0.05151836304814531,0.7294964336854673,0.04017246086998676
43D1F8,1.3859564137362206e-06,1.0,1.5625326493484395e-07,1.0,0.08417023635442572,0.0008610037641032859,0.16044599121346745
D104D0,1.0,1.0,0.05151836304814531,0.08417023635442572,1.0,1.0,1.0
FF3300,1.0,0.06676332190544362,0.7294964336854673,0.0008610037641032859,1.0,1.0,1.0
FF6600,1.0,1.0,0.04017246086998676,0.16044599121346745,1.0,1.0,1.0
