,05D004,05D0AA,218FA5,43D1F8,D104D0,FF3300,FF6600
05D004,1.0,1.0,3.6933494938604206e-16,1.0,2.02837486630152e-08,1.0,1.0
05D0AA,1.0,1.0,3.802919093302624e-14,1.0,2.0779179834626066e-07,1.0,1.0
218FA5,3.6933494938604206e-16,3.802919093302624e-14,1.0,4.402955375653039e-12,0.3474984486170815,1.8761814420583567e-12,4.875472059791673e-10
43D1F8,1.0,1.0,4.402955375653039e-12,1.0,3.5816475721105326e-06,1.0,1.0
D104D0,2.02837486630152e-08,2.0779179834626066e-07,0.3474984486170815,3.5816475721105326e-06,1.0,2.168660224949317e-06,8.914488219585063e-05
FF3300,1.0,1.0,1.8761814420583567e-12,1.0,2.168660224949317e-06,1.0,1.0
FF6600,1.0,1.0,4.875472059791673e-10,1.0,8.914488219585063e-05,1.0,1.0
